2015-12-16 05:47:57,785 - INFO  [main:QuorumPeerConfig@101] - Reading configuration from: /etc/zookeeper/conf/zoo.cfg
2015-12-16 05:47:57,795 - INFO  [main:QuorumPeerConfig@334] - Defaulting to majority quorums
2015-12-16 05:47:57,800 - INFO  [main:DatadirCleanupManager@78] - autopurge.snapRetainCount set to 3
2015-12-16 05:47:57,800 - INFO  [main:DatadirCleanupManager@79] - autopurge.purgeInterval set to 0
2015-12-16 05:47:57,802 - INFO  [main:DatadirCleanupManager@101] - Purge task is not scheduled.
2015-12-16 05:47:57,863 - INFO  [main:QuorumPeerMain@127] - Starting quorum peer
2015-12-16 05:47:57,875 - INFO  [main:NIOServerCnxnFactory@94] - binding to port 0.0.0.0/0.0.0.0:2181
2015-12-16 05:47:57,892 - INFO  [main:QuorumPeer@913] - tickTime set to 2000
2015-12-16 05:47:57,893 - INFO  [main:QuorumPeer@933] - minSessionTimeout set to -1
2015-12-16 05:47:57,893 - INFO  [main:QuorumPeer@944] - maxSessionTimeout set to -1
2015-12-16 05:47:57,893 - INFO  [main:QuorumPeer@959] - initLimit set to 10
2015-12-16 05:47:57,906 - INFO  [main:QuorumPeer@429] - currentEpoch not found! Creating with a reasonable default of 0. This should only happen when you are upgrading your installation
2015-12-16 05:47:57,910 - INFO  [main:QuorumPeer@444] - acceptedEpoch not found! Creating with a reasonable default of 0. This should only happen when you are upgrading your installation
2015-12-16 05:47:57,916 - INFO  [Thread-1:QuorumCnxManager$Listener@486] - My election bind port: 0.0.0.0/0.0.0.0:3888
2015-12-16 05:47:57,925 - INFO  [QuorumPeer[myid=2]/0:0:0:0:0:0:0:0:2181:QuorumPeer@670] - LOOKING
2015-12-16 05:47:57,926 - INFO  [QuorumPeer[myid=2]/0:0:0:0:0:0:0:0:2181:FastLeaderElection@740] - New election. My id =  2, proposed zxid=0x0
2015-12-16 05:47:57,934 - INFO  [WorkerSender[myid=2]:QuorumCnxManager@190] - Have smaller server identifier, so dropping the connection: (3, 2)
2015-12-16 05:47:57,935 - INFO  [WorkerReceiver[myid=2]:FastLeaderElection@542] - Notification: 2 (n.leader), 0x0 (n.zxid), 0x1 (n.round), LOOKING (n.state), 2 (n.sid), 0x0 (n.peerEPoch), LOOKING (my state)
2015-12-16 05:47:57,935 - INFO  [WorkerSender[myid=2]:QuorumCnxManager@190] - Have smaller server identifier, so dropping the connection: (4, 2)
