2015-12-19 00:22:30,022 - INFO  [main:QuorumPeerConfig@101] - Reading configuration from: /etc/zookeeper/conf/zoo.cfg
2015-12-19 00:22:30,034 - INFO  [main:QuorumPeerConfig@334] - Defaulting to majority quorums
2015-12-19 00:22:30,041 - INFO  [main:DatadirCleanupManager@78] - autopurge.snapRetainCount set to 3
2015-12-19 00:22:30,041 - INFO  [main:DatadirCleanupManager@79] - autopurge.purgeInterval set to 0
2015-12-19 00:22:30,044 - INFO  [main:DatadirCleanupManager@101] - Purge task is not scheduled.
2015-12-19 00:22:30,126 - INFO  [main:QuorumPeerMain@127] - Starting quorum peer
2015-12-19 00:22:30,141 - INFO  [main:NIOServerCnxnFactory@94] - binding to port 0.0.0.0/0.0.0.0:2181
2015-12-19 00:22:30,163 - INFO  [main:QuorumPeer@913] - tickTime set to 2000
2015-12-19 00:22:30,163 - INFO  [main:QuorumPeer@933] - minSessionTimeout set to -1
2015-12-19 00:22:30,163 - INFO  [main:QuorumPeer@944] - maxSessionTimeout set to -1
2015-12-19 00:22:30,163 - INFO  [main:QuorumPeer@959] - initLimit set to 10
2015-12-19 00:22:30,179 - INFO  [main:QuorumPeer@429] - currentEpoch not found! Creating with a reasonable default of 0. This should only happen when you are upgrading your installation
2015-12-19 00:22:30,183 - INFO  [main:QuorumPeer@444] - acceptedEpoch not found! Creating with a reasonable default of 0. This should only happen when you are upgrading your installation
2015-12-19 00:22:30,193 - INFO  [Thread-1:QuorumCnxManager$Listener@486] - My election bind port: 0.0.0.0/0.0.0.0:3888
2015-12-19 00:22:30,202 - INFO  [QuorumPeer[myid=2]/0:0:0:0:0:0:0:0:2181:QuorumPeer@670] - LOOKING
2015-12-19 00:22:30,203 - INFO  [QuorumPeer[myid=2]/0:0:0:0:0:0:0:0:2181:FastLeaderElection@740] - New election. My id =  2, proposed zxid=0x0
2015-12-19 00:22:30,213 - INFO  [WorkerSender[myid=2]:QuorumCnxManager@190] - Have smaller server identifier, so dropping the connection: (3, 2)
2015-12-19 00:22:30,214 - INFO  [WorkerReceiver[myid=2]:FastLeaderElection@542] - Notification: 2 (n.leader), 0x0 (n.zxid), 0x1 (n.round), LOOKING (n.state), 2 (n.sid), 0x0 (n.peerEPoch), LOOKING (my state)
2015-12-19 00:22:30,214 - INFO  [WorkerSender[myid=2]:QuorumCnxManager@190] - Have smaller server identifier, so dropping the connection: (4, 2)
2015-12-19 00:22:30,214 - INFO  [n4/10.0.0.5:3888:QuorumCnxManager$Listener@493] - Received connection request /10.0.0.4:47874
2015-12-19 00:22:30,214 - INFO  [WorkerReceiver[myid=2]:FastLeaderElection@542] - Notification: 5 (n.leader), 0x0 (n.zxid), 0x1 (n.round), LOOKING (n.state), 1 (n.sid), 0x0 (n.peerEPoch), LOOKING (my state)
2015-12-19 00:22:30,214 - INFO  [WorkerSender[myid=2]:QuorumCnxManager@190] - Have smaller server identifier, so dropping the connection: (5, 2)
2015-12-19 00:22:30,216 - INFO  [n4/10.0.0.5:3888:QuorumCnxManager$Listener@493] - Received connection request /10.0.0.3:36824
2015-12-19 00:22:30,216 - INFO  [WorkerReceiver[myid=2]:FastLeaderElection@542] - Notification: 5 (n.leader), 0x0 (n.zxid), 0x1 (n.round), LOOKING (n.state), 2 (n.sid), 0x0 (n.peerEPoch), LOOKING (my state)
2015-12-19 00:22:30,216 - INFO  [WorkerSender[myid=2]:QuorumCnxManager@190] - Have smaller server identifier, so dropping the connection: (4, 2)
2015-12-19 00:22:30,217 - INFO  [WorkerSender[myid=2]:QuorumCnxManager@190] - Have smaller server identifier, so dropping the connection: (5, 2)
2015-12-19 00:22:30,218 - INFO  [WorkerReceiver[myid=2]:FastLeaderElection@542] - Notification: 5 (n.leader), 0x0 (n.zxid), 0x1 (n.round), LOOKING (n.state), 3 (n.sid), 0x0 (n.peerEPoch), LOOKING (my state)
2015-12-19 00:22:30,219 - WARN  [SendWorker:4:QuorumCnxManager$SendWorker@684] - Exception when using channel: for id 4 my id = 2 error = java.net.SocketException: Broken pipe
2015-12-19 00:22:30,222 - INFO  [n4/10.0.0.5:3888:QuorumCnxManager$Listener@493] - Received connection request /10.0.0.2:59347
2015-12-19 00:22:30,222 - WARN  [SendWorker:4:QuorumCnxManager$SendWorker@688] - Send worker leaving thread
2015-12-19 00:22:30,222 - WARN  [RecvWorker:4:QuorumCnxManager$RecvWorker@765] - Interrupting SendWorker
2015-12-19 00:22:30,222 - INFO  [n4/10.0.0.5:3888:QuorumCnxManager$Listener@493] - Received connection request /10.0.0.3:36829
2015-12-19 00:22:30,223 - WARN  [SendWorker:5:QuorumCnxManager$SendWorker@684] - Exception when using channel: for id 5 my id = 2 error = java.net.SocketException: Broken pipe
2015-12-19 00:22:30,224 - WARN  [RecvWorker:5:QuorumCnxManager$RecvWorker@762] - Connection broken for id 5, my id = 2, error = 
java.net.SocketException: Socket closed
	at java.net.SocketInputStream.socketRead0(Native Method)
	at java.net.SocketInputStream.socketRead(SocketInputStream.java:116)
	at java.net.SocketInputStream.read(SocketInputStream.java:170)
	at java.net.SocketInputStream.read(SocketInputStream.java:141)
	at java.net.SocketInputStream.read(SocketInputStream.java:223)
	at java.io.DataInputStream.readInt(DataInputStream.java:387)
	at org.apache.zookeeper.server.quorum.QuorumCnxManager$RecvWorker.run(QuorumCnxManager.java:747)
2015-12-19 00:22:30,226 - WARN  [RecvWorker:5:QuorumCnxManager$RecvWorker@765] - Interrupting SendWorker
2015-12-19 00:22:30,226 - WARN  [SendWorker:5:QuorumCnxManager$SendWorker@688] - Send worker leaving thread
2015-12-19 00:22:30,226 - INFO  [n4/10.0.0.5:3888:QuorumCnxManager$Listener@493] - Received connection request /10.0.0.2:59351
2015-12-19 00:22:30,227 - INFO  [WorkerReceiver[myid=2]:FastLeaderElection@542] - Notification: 5 (n.leader), 0x0 (n.zxid), 0x1 (n.round), LOOKING (n.state), 4 (n.sid), 0x0 (n.peerEPoch), LOOKING (my state)
2015-12-19 00:22:30,228 - INFO  [WorkerReceiver[myid=2]:FastLeaderElection@542] - Notification: 5 (n.leader), 0x0 (n.zxid), 0x1 (n.round), LOOKING (n.state), 5 (n.sid), 0x0 (n.peerEPoch), LOOKING (my state)
2015-12-19 00:22:30,433 - INFO  [QuorumPeer[myid=2]/0:0:0:0:0:0:0:0:2181:QuorumPeer@738] - FOLLOWING
2015-12-19 00:22:30,439 - INFO  [QuorumPeer[myid=2]/0:0:0:0:0:0:0:0:2181:Learner@85] - TCP NoDelay set to: true
2015-12-19 00:22:30,446 - INFO  [QuorumPeer[myid=2]/0:0:0:0:0:0:0:0:2181:Environment@100] - Server environment:zookeeper.version=3.4.5--1, built on 03/16/2014 21:36 GMT
2015-12-19 00:22:30,446 - INFO  [QuorumPeer[myid=2]/0:0:0:0:0:0:0:0:2181:Environment@100] - Server environment:host.name=n4
2015-12-19 00:22:30,446 - INFO  [QuorumPeer[myid=2]/0:0:0:0:0:0:0:0:2181:Environment@100] - Server environment:java.version=1.8.0_66
